1,2000,"8,001","3,205,059.95",400.58,148,"4,730,288.41","31,961.41","8,149","7,935,348.36",973.78
2,2000,"9,909","3,567,370.52",360.01,245,"12,607,962.50","51,461.07","10,154","16,175,333.02","1,593.00"
3,2000,"10,389","2,821,739.38",271.61,97,"3,094,197.21","31,898.94","10,486","5,915,936.59",564.17
4,2000,"10,869","3,425,158.76",315.13,87,"2,194,651.12","25,225.87","10,956","5,619,809.88",512.94
5,2000,"14,321","4,395,553.77",306.93,240,"5,427,934.05","22,616.39","14,561","9,823,487.82",674.64
6,2000,"11,071","3,366,132.21",304.05,171,"5,715,486.11","33,423.90","11,242","9,081,618.32",807.83
7,2000,"8,960","3,883,303.66",433.40,207,"6,436,735.19","31,095.34","9,167","10,320,038.85","1,125.78"
8,2000,"3,939","2,062,795.75",523.69,233,"7,149,130.68","30,682.96","4,172","9,211,926.43","2,208.04"
9,2000,"8,067","2,836,868.01",351.66,118,"2,739,060.44","23,212.38","8,185","5,575,928.45",681.24
10,2000,"8,862","3,174,900.50",358.26,151,"4,727,567.51","31,308.39","9,013","7,902,468.01",876.79
11,2000,"10,543","3,691,579.18",350.15,143,"6,087,812.56","42,572.12","10,686","9,779,391.74",915.16
12,2000,"8,989","3,245,173.21",361.02,148,"3,406,889.76","23,019.53","9,137","6,652,062.97",728.04
13,2000,"8,152","2,462,327.65",302.05,66,"1,785,840.13","27,058.18","8,218","4,248,167.78",516.93
14,2000,"3,236","2,063,165.67",637.57,114,"2,821,457.41","24,749.63","3,350","4,884,623.08","1,458.10"
15,2000,"11,275","4,484,968.21",397.78,175,"3,976,573.18","22,723.28","11,450","8,461,541.39",739.00
16,2000,"8,030","2,935,912.02",365.62,89,"1,598,742.85","17,963.40","8,119","4,534,654.87",558.52
17,2000,"6,501","2,546,205.08",391.66,46,"431,529.17","9,381.07","6,547","2,977,734.25",454.82
18,2000,"2,596","1,402,932.34",540.42,64,"2,232,576.68","34,884.01","2,660","3,635,509.02","1,366.73"
19,2000,"3,450","1,846,965.17",535.35,65,"1,757,347.43","27,036.11","3,515","3,604,312.60","1,025.41"
20,2000,"4,271","3,890,044.20",910.80,375,"9,032,300.48","24,086.13","4,646","12,922,344.68","2,781.39"
21,2000,"7,043","3,096,088.00",439.60,116,"2,123,911.99","18,309.59","7,159","5,219,999.99",729.15
22,2000,"4,316","2,493,404.86",577.71,220,"4,410,367.44","20,047.12","4,536","6,903,772.30","1,522.00"
